[0. 0. 0.]
[  121.67729999 14694.91801507  1819.04741123]
[  121.63766448 14723.04376166  1819.21732913]
[  121.62215068 14734.64192679  1819.28365898]
[  121.60798587 14746.76343186  1819.35105911]
[  121.6353326  14770.16534336  1819.22093566]
[  121.66886139 14839.5102614   1818.84446358]
[  121.66947649 14841.89123554  1818.83208464]
[  121.60641465 15085.99628552  1820.10121287]
[  121.50196456 15368.88539112  1821.53054257]
[  121.50388826 15374.09547752  1821.50421801]
[  121.50773922 15389.61082927  1821.43142597]
[  121.56241446 15550.09145582  1820.76857247]
[  121.5636324  15626.96526607  1820.45867835]
[  121.59309531 15858.44604677  1819.58548986]
[  121.56810755 16054.76699728  1820.32604894]
[  121.56231598 16078.78842038  1820.40846183]
[  121.55518098 16106.97144561  1820.50283573]
[  121.5543885  16278.95782592  1821.0400414 ]
[  121.56484818 16337.23314414  1821.21488234]
[  121.56447672 16337.75146549  1821.21646667]
[  121.27746196 16596.34064245  1821.97438271]
[  121.33554772 16648.67365473  1821.82099644]
[  121.38955531 16706.67980177  1821.65778657]
[  121.36601287 16731.96525631  1821.72893137]
[  121.56220398 16942.68173227  1821.13604576]
[  121.60182616 16980.46096356  1821.0356149 ]
[  121.64862757 17028.85252777  1820.91743055]
[  121.78148124 17179.33025781  1820.56271589]
[  121.94959251 17397.35207899  1820.05851184]
[  121.96784994 17421.36212129  1820.0068278 ]
[  121.99586643 17460.94737513  1819.9238816 ]
[  122.20162125 17634.31083803  1819.64776795]
[  122.21827416 17649.48451813  1819.63037743]
[  122.33015014 17753.74561733  1819.50967222]
[  122.29429584 17787.15947725  1819.54835613]
[  122.24696825 17831.99827108  1819.59251853]
[  122.26646081 17850.46577774  1819.57432961]
[  122.25590964 17860.46209182  1819.58417513]
[  122.37273565 17971.14462602  1819.47516224]
[  122.41005942 18009.69587681  1819.43896812]
[  122.38771874 18032.77128342  1819.46063263]
[  122.57647101 18227.73111889  1819.27759318]
[  122.26322894 18551.27490124  1819.5813546 ]
[  122.21359753 18608.15311945  1819.62806256]
[  122.15928265 18672.7565694   1819.67680831]
[  122.27845183 18814.49932416  1819.56985804]
[  122.18839175 18921.61899707  1819.65068389]
[  122.22873178 18969.60042253  1819.61448009]
[  122.20995501 18991.93397599  1819.6313316 ]
[  122.06262233 19179.50179107  1819.78232312]
[  122.04807552 19198.64492493  1819.79754203]
[  121.94469279 19335.05982137  1819.89608496]
[  121.89921237 19395.35188478  1819.93811077]
[  121.91453046 19415.65862962  1819.92395621]
[  121.97747116 19507.21900935  1819.86598165]
[  121.94830792 19549.64302917  1819.89284386]
[  122.08755077 19752.20081698  1819.76458752]
[  122.21066554 19936.75382344  1819.65094252]
